comment_id,author,text,published_at,likes,is_reply
UgyFfYrJHHwlHK8r8-N4AaABAg,@sancochotrifasico,"HACEMOS REÍR A ZURDOS Y PARACOS; LOS CHISTES NO TIENEN PARTIDO POLÍTICO, LOS AMAMOS 🚘✍🏻

🎤Gira Nacional CULOTAURO (Links de boletería)🇨🇴

-SOPO 19 Marzo
 https://tuboleta.com/es/eventos/show-culotauro-sopo

-MOSQUERA 27 Marzo
https://tuboleta.com/es/eventos/show-culotauro-mosquera",hace 2 semanas (editado),2.9 K,False
UgwTbFzfnJdiwpOV2WZ4AaABAg,@alejosantos7626,"Por este vídeo los dejo de seguir ….. deci que al déjame quieto lo salvó el mago ….. si no ,  fuera ….  Que triste ! Rompieron los códigos !",hace 8 horas,0,False
UgxAw0HkrrfvSvqGSeh4AaABAg,@JhonAndersonGualteroAlarcon,Que se acaben las personas que hablan como ñero y que Cepeda sea presidente.🎉,hace 8 horas,0,False
UgzklTbw7Zk0LlcHbh94AaABAg,@luisjoselopezangarita4704,jejeje lo coherente es que se dejaron manosear y cojer el cul.. sonriendo y agradecidos... mentiiiirasss es un chistecito.,hace 9 horas,0,False
UgwkNg07fsLLQ-Mbt-94AaABAg,@Vtro.oficial,35:13 que avionsote pasó por al lado de Camilo,hace 10 horas (editado),0,False
Ugz7THHcuXCyKbMWJaN4AaABAg,@yeimypico5972,"1:06:21 ""es que nos han traicionado mucho""... procede Oviedo a traicionar a los que creyeron en él",hace 10 horas,3,False
Ugw0hC3Pni6F6fWiSpF4AaABAg,@guerreroverde1000,Actos = Consecuencias,hace 12 horas,0,False
Ugwm5sjPCBNQHKw7Sm94AaABAg,@guerreroverde1000,Muchachos...,hace 12 horas,0,False
UgxHQy-cLBu8YEzWBJl4AaABAg,@gerogomezrlo209,definitivamente esta modita llevara acolombia a la mierda,hace 12 horas,0,False
UgwxCI3wA61ij6RnUnd4AaABAg,@joedavinson6558,¿Por qué maneja Camilo?,hace 12 horas,0,False
UgzA9or3h8M-FCjmt914AaABAg,@angiemarcelamerchan2750,"Cómo persona es espectacular, es un hombre inteligente, que conoce la problemática de nuestra ciudad y el país, su actitud y personalidad genial pero la c_agó totalmente aliándose con paloma grave",hace 13 horas,0,False
UgyZwQlV1IxvrLIUd7x4AaABAg,@AndresMorales-sh8wy,Tremendo gancho ciego con el oviedo jajajaja,hace 13 horas,2,False
UgydadLiUTxndpbWoIZ4AaABAg,@Mar-vy7fg,"Lástima que Oviedo resultó ser un gancho ciego, diciendo ser de centro y  fue por la derecha.",hace 13 horas,0,False
UgwBbE7sJ6skeYZ_VYh4AaABAg,@maycol6758,Cómo va a comparar a un indígena o campesino con un gay 😂,hace 14 horas,0,False
Ugy-9l9qazKhqHOymwF4AaABAg,@mikethundera8107,"Severo peye de capítulo, haciéndole propaganda a ese GANCHO CIEGO 💩💩💩",hace 14 horas,0,False
UgwQKjLnFNTlne70tQF4AaABAg,@lmcf97,no mameees jefrrey epstein :face-blue-wide-eyes:,hace 15 horas,0,False
UgxwSRFSTDSXn8-dVo54AaABAg,@Briamrubio97,Minuto 31:01 y no se equivocaron 🤣🤣🤣🤣🤣🤣,hace 15 horas,0,False
Ugz-03myZHAn2thizkp4AaABAg,@johandavid969,jaja esta mierda esta llena de bots jajaja,hace 16 horas,0,False
UgybiBqvcpZ5wLmI50Z4AaABAg,@Eimmy1014,Y si RESULTÓ ser un man de derecha disfrazado 🫥🫥🤷🏻‍♀️🤷🏻‍♀️,hace 17 horas,0,False
UgxNrmRH4hlBm39Lg7d4AaABAg,@adrianamaldonado8195,"Np le valió limpiar mierda, se fue a la mierdaaaa oviedo",hace 18 horas,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1q6Ji0VKj,@LemussSuarez,"por ahora son de izquierda. 
cuando hagan mas plata se vuelven de derecha",hace 2 semanas,50,False
